"","collect_date","Inv_PV_kW","Inv_kW","Inv_RS_V","Inv_ST_V","Inv_TR_V","Inv_R_A","Inv_S_A","Inv_T_A","Inv_Hz","DC_hat","AC_hat","decision","tau","error"
"1",2025-08-09,0,0,0,0,0,0,0,0,0,1.0648163035512e-11,1.46156763657928e-11,0,51.1349138227399,8.07347060721999
"2",2025-08-09 00:15:00,0,0,0,0,0,0,0,0,0,-3.24742402881384e-12,-5.73599152266979e-12,0,51.1349138227399,8.07347060721999
"3",2025-08-09 00:30:00,0,0,0,0,0,0,0,0,0,3.2850120216608e-11,-2.06752233207226e-11,0,51.1349138227399,8.07347060721999
"4",2025-08-09 00:45:00,0,0,0,0,0,0,0,0,0,-8.27189348638058e-12,-3.08680944144726e-11,0,51.1349138227399,8.07347060721999
"5",2025-08-09 01:00:00,0,0,0,0,0,0,0,0,0,2.64435205608606e-11,-9.9945068359375e-12,0,51.1349138227399,8.07347060721999
"6",2025-08-09 01:15:00,0,0,0,0,0,0,0,0,0,1.06683522462845e-11,-7.66482623293996e-12,0,51.1349138227399,8.07347060721999
"7",2025-08-09 01:30:00,0,0,0,0,0,0,0,0,0,-3.77293722704053e-12,-1.07043972238898e-11,0,51.1349138227399,8.07347060721999
"8",2025-08-09 01:45:00,0,0,0,0,0,0,0,0,0,-5.81526616588235e-12,-8.82565416395664e-12,0,51.1349138227399,8.07347060721999
"9",2025-08-09 02:00:00,0,0,0,0,0,0,0,0,0,4.45196451619267e-12,-3.7523690611124e-11,0,51.1349138227399,8.07347060721999
"10",2025-08-09 02:15:00,0,0,0,0,0,0,0,0,0,2.64522191137075e-11,4.138058796525e-11,0,51.1349138227399,8.07347060721999
"11",2025-08-09 02:30:00,0,0,0,0,0,0,0,0,0,-2.86009311676025e-11,-6.04384997859597e-12,0,51.1349138227399,8.07347060721999
"12",2025-08-09 02:45:00,0,0,0,0,0,0,0,0,0,2.25166883319616e-11,-8.74132849276066e-13,0,51.1349138227399,8.07347060721999
"13",2025-08-09 03:00:00,0,0,0,0,0,0,0,0,0,-1.68376434594393e-11,-2.54362393170595e-11,0,51.1349138227399,8.07347060721999
"14",2025-08-09 03:15:00,0,0,0,0,0,0,0,0,0,-8.83975997567177e-12,2.21997294574976e-11,0,51.1349138227399,8.07347060721999
"15",2025-08-09 03:30:00,0,0,0,0,0,0,0,0,0,-1.55322765931487e-11,2.45653931051493e-11,0,51.1349138227399,8.07347060721999
"16",2025-08-09 03:45:00,0,0,0,0,0,0,0,0,0,-2.48861759901047e-11,2.06511132419109e-11,0,51.1349138227399,8.07347060721999
"17",2025-08-09 04:00:00,0,0,0,0,0,0,0,0,0,-1.07603119686246e-11,6.82127196341753e-13,0,51.1349138227399,8.07347060721999
"18",2025-08-09 04:15:00,0,0,0,0,0,0,0,0,0,2.86438539624214e-11,-2.63247881084681e-11,0,51.1349138227399,8.07347060721999
"19",2025-08-09 04:30:00,0,0,0,0,0,0,0,0,0,3.54066044092178e-11,-3.53042595088482e-11,0,51.1349138227399,8.07347060721999
"20",2025-08-09 04:45:00,0,0,0,0,0,0,0,0,0,2.75057591497898e-11,-1.7614820972085e-12,0,51.1349138227399,8.07347060721999
"21",2025-08-09 05:00:00,0,0,0,0,0,0,0,0,0,-5.71032986044884e-11,1.23307602480054e-11,0,51.1349138227399,8.07347060721999
"22",2025-08-09 05:15:00,0,0,0,0,0,0,0,0,0,0.0216462433338165,-0.000963721331208944,0,51.1349138227399,8.07347060721999
"23",2025-08-09 05:30:00,0,0,375,379,378,0.2,0.2,0.3,60,0.12102872133255,0.0544297441840172,0,51.1349138227399,8.07347060721999
"24",2025-08-09 05:45:00,0.2,0,375,380,377,5.2,5.1,5.6,60,0.17068262398243,0.112412318587303,0,51.1349138227399,8.07347060721999
"25",2025-08-09 06:00:00,0.6,0.3,375,379,377,4.8,4.8,5.3,59.9,0.732766281068325,0.307202640920877,0,51.1349138227399,8.07347060721999
"26",2025-08-09 06:15:00,0,0,375,378,376,0.2,0.1,0.2,59.9,1.28341715633869,1.15110009014606,0,51.1349138227399,8.07347060721999
"27",2025-08-09 06:30:00,1.6,1.3,372,378,375,5.1,5.3,5.7,60,1.35088006556034,0.757216095924377,0,51.1349138227399,8.07347060721999
"28",2025-08-09 06:45:00,1.9,1.7,372,377,375,5.6,5.8,6.1,59.9,1.38444498181343,1.47653222084045,0,51.1349138227399,8.07347060721999
"29",2025-08-09 07:00:00,3.5,3.3,375,379,376,6.5,6.6,7.2,60,2.32144800573587,2.1816388964653,0,51.1349138227399,8.07347060721999
"30",2025-08-09 07:15:00,3.2,3.1,376,380,378,6.7,6.7,7.3,60,3.02354155480862,2.38492012023926,0,51.1349138227399,8.07347060721999
"31",2025-08-09 07:30:00,4.4,4.2,374,378,376,7.7,7.5,8.2,59.9,3.81450710892677,2.20801100507379,0,51.1349138227399,8.07347060721999
